Date,Weather ,Daylight,Song,BPM,How It makes me feel,Additional Notes,Spotify embeded HTML
2026-02-08,Sunny/ Clear,Bright,Fight me - again & again,120,Neutral,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2lZdGb5UdTnzPROmY7gLWK?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-09,Sunny,Bright,Fight me - again & again,120,Neutral,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2lZdGb5UdTnzPROmY7gLWK?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-10,Sunny,Bright,Fight me - again & again,120,Neutral,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2lZdGb5UdTnzPROmY7gLWK?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-11,Cloudy,Grey,ЗАЧЕМ? - Nextime,116,Energized,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/6fEJmqBpIiAKzd0zGhfxvQ?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-12,Cloudy,Grey,There's No Way - Lauv,147,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2hnxrRNzF74mdDzpQZQukQ?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-13,Sunny,Bright,I Don't wanna talk - Wallows,162,Energized,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1KO4aiGkvF1eMTBrzL4vAd?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-14,Sunny,Bright,I'm Full - Wallows,160,Neutral,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7E9OnFFwTYDz6ZllgfbwOd?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-15,Cloudy,Grey,Alter Ego - Doechii,127,Energized,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2xaaJcmvMOmpDbTwlWnjFh?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-16,Cloyd,Grey,There's No Way - Lauv,147,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2hnxrRNzF74mdDzpQZQukQ?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-17,Cloudy,Grey,Exie - Last Dinosaurs,111,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2KLYRYtkG6XOqHjacNHZw7?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-18,Cloudy,Grey,SRT - Atwood,110,Neutral,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2dDcTno6URFTktC7AifShN?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-19,Cloudy,Bright,Mind Loaded - Blood Orange,70,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4gVsKMMK0f8dweHL7Vm9HC?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-20,Sunny ,Bright,OD - Polyphia,136,Energized,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1U2yqd3Bp4vBuIQ3NGfS6C?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-21,Sunny,Bright,The Line - Twenty One Pilotes,143,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3qrTll9OQ9wcejTxPFY0qg?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-22,Cloudy,Grey,Kebabs - Last Dinosaurs,128,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5iyu8PYNeTHHTtDmFsShY6?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-23,Cloudy,Grey,Take Me Dancing - Doja Cat,112,Neutral,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3jYMt6j13zQGXfFLaO3BKv?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-24,Cloudy ,Grey,Mean It - Lauv,96,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3GRSqlALWISqLeNncZMbpX?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-25,Cloudy,Bright,Hide it Away - Wallows,122,Mellowed,I usally listen to this when I'm upset,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2XLG8FRWlCChHrbfs9YvQN?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-26,Sunny,Bright,Casino - Baby Keem,146,Energized,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3VW6HJYa5l0uzGcCRA222P?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-27,Sunny,Bright,Wanna Be Startin' Something - MJ,112,Energzied,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1hu2s7qkm5bo03eODpRQO3?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-02-28,Sunny ,Bright,Alternative Outro  - Lucki,116,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0ZFQxmNIOj03o7OMaiPcVX?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-03-01,Cloud,Grey,Ribs - Lorde,128,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2MvvoeRt8NcOXWESkxWn3g?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-03-02,Cloudy ,Grey,I'd Rather Start a Fire - again & again,108,Mellowed,This coincided with the week (spring break) where I barely left the house,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2NwcBZAk0dscED3GusgGpb?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-03-03,Cloudy ,Grey,Ribs - Lorde,128,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2MvvoeRt8NcOXWESkxWn3g?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-03-04,Cloudy ,Grey,Ribs - Lorde,128,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2MvvoeRt8NcOXWESkxWn3g?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-03-05,Cloudy ,Grey,Ribs - Lorde,128,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2MvvoeRt8NcOXWESkxWn3g?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-03-06,Cloudy,Bright,Fox - Boa,110,Mellowed,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/50E7JEHhsqk3resRnYNcLk?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-03-07,Sunny,Bright,Ground - Wallows,77,Neutral,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2N977oXVcbzWqT4m3U698h?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2026-03-08,Sunny,Bright,I dont wanna know - Olen,106,Energized,,"<iframe data-testid=""embed-iframe"" style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2cF598qoLcXrwvch72QfRp?utm_source=generator"" width=""50%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
